,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,,,,Payment,,07/30/2025,,online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-25,000.00",,"139,179.00",,0.00,,,,,,0.00
,Total AIT Business Solution (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"139,179.00",,"139,179.00",,0.00,,,,,,
,Aitken Spence Printing & Packaging(Pvt)Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Aitken Spence Printing & Packaging(Pvt)Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Akoit Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,Total Akoit Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,AL - ARAF HOTELS & RESORT (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,180.00",,,,,,,,
,,,,Payment,,01/17/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-13,180.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/18/2024,,AS010027,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,835.00",,"3,835.00",,0.00,,,,,,0.00
,,,,Invoice,,02/21/2024,,AS010051,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,725.85",,"7,560.85",,0.00,,,,,,0.00
,,,,Invoice,,03/18/2024,,AS010080,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,634.40",,"11,195.25",,0.00,,,,,,0.00
,,,,Invoice,,04/22/2024,,AS010112,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,599.00",,"14,794.25",,0.00,,,,,,0.00
,,,,Payment,,05/13/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-14,794.25",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/16/2024,,AS010138,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,604.90",,"3,604.90",,0.00,,,,,,0.00
,,,,Invoice,,06/19/2024,,AS010185,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,634.40",,"7,239.30",,0.00,,,,,,0.00
,,,,Invoice,,07/22/2024,,AS010217,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,628.50",,"10,867.80",,0.00,,,,,,0.00
,,,,Invoice,,08/01/2024,,AS010234,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"3,599.00",,"14,466.80",,0.00,,,,,,0.00
,,,,Invoice,,09/05/2024,,AS010271,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,551.80",,"18,018.60",,0.00,,,,,,0.00
,,,,Payment,,09/13/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-14,466.80",,"3,551.80",,0.00,,,,,,0.00
,,,,Invoice,,11/12/2024,,AS010349,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"7,009.20",,"10,561.00",,0.00,,,,,,0.00
,,,,Invoice,,12/11/2024,,AS010390,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,504.60",,"14,065.60",,0.00,,,,,,0.00
,,,,Payment,,12/30/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-14,065.60",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/20/2025,,AS010442,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,545.90",,"3,545.90",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2025,,AS010507,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,528.20",,"7,074.10",,0.00,,,,,,0.00
,,,,Invoice,,03/21/2025,,AS010535,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,540.00",,"10,614.10",,0.00,,,,,,0.00
,,,,Invoice,,04/24/2025,,AS010579,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,575.40",,"14,189.50",,0.00,,,,,,0.00
,,,,Invoice,,05/20/2025,,AS010611,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,575.40",,"17,764.90",,0.00,,,,,,0.00
,,,,Payment,,05/22/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-7,074.10",,"10,690.80",,0.00,,,,,,0.00
,,,,Payment,,05/30/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-10,690.80",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/16/2025,,AS010649,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,575.40",,"3,575.40",,0.00,,,,,,0.00
,,,,Invoice,,07/19/2025,,AS010716,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,593.10",,"7,168.50",,0.00,,,,,,0.00
,,,,Invoice,,08/04/2025,,AS010740,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,593.10",,"10,761.60",,0.00,,,,,,0.00
,,,,Payment,,09/08/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-10,761.00",,0.60,,0.00,,,,,,0.00
,,,,Invoice,,09/23/2025,,AS010820,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,604.90",,"3,605.50",,0.00,,,,,,0.00
,,,,Invoice,,10/17/2025,,AS010853,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,613.75",,"7,219.25",,0.00,,,,,,0.00
,,,,Invoice,,11/18/2025,,AS010912,,,,,,Accounts Receivable,,Sal:EC,,AS,,Paid,,,,,,,,"3,663.90",,"10,883.15",,0.00,,,,,,0.00
,,,,Invoice,,12/17/2025,,AS010969,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"3,690.45",,"14,573.60",,0.00,,,,,,0.00
,,,,Invoice,,01/21/2026,,AS011021,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"3,690.45",,"18,264.05",,0.00,,,,,,0.00
,,,,Invoice,,02/16/2026,,AS011060,,,,,,Accounts Receivable,,Sal:RS,,AS,,Paid,,,,,,,,"3,684.55",,"21,948.60",,0.00,,,,,,0.00
,,,,Invoice,,03/20/2026,,AS011109,,,,,,Accounts Receivable,,Sal:RS,,AS,,Unpaid,,,,41,,,,"3,714.05",,"25,662.65",,0.00,,,,,,0.00
,,,,Invoice,,04/21/2026,,AS011153,,,,,,Accounts Receivable,,Sal:RS,,AS,,Unpaid,,,,9,,,,"3,776.00",,"29,438.65",,0.00,,,,,,0.00
,,,,Payment,,04/23/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-21,977.50",,"7,461.15",,0.00,,,,,,0.00
,Total AL - ARAF HOTELS & RESORT (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,718.85",,"7,461.15",,0.00,,,,,,
,Allied Techno Services Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,12/15/2025,,AS010963,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"41,300.00",,"41,300.00",,0.00,,,,,,0.00
,,,,Payment,,12/15/2025,,,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-41,300.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,01/09/2026,,AS011003,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"921,580.00",,"921,580.00",,0.00,,,,,,0.00
,,,,Payment,,01/12/2026,,490976,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-921,580.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/07/2026,,AS011140,,,,,,Accounts Receivable,,,,AD,,Unpaid,,,,23,,,,"112,100.00",,"112,100.00",,0.00,,,,,,0.00
,Total Allied Techno Services Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,100.00",,"112,100.00",,0.00,,,,,,
,AlloT Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,03/23/2026,,AS011114,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"121,540.00",,"121,540.00",,0.00,,,,,,0.00
,,,,Payment,,03/24/2026,,549195,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-121,540.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/09/2026,,AS011145,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"103,840.00",,"103,840.00",,0.00,,,,,,0.00
,,,,Payment,,04/21/2026,,549199,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-103,840.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,04/23/2026,,AS011160,,,,,,Accounts Receivable,,,,AD,,Paid,,,,,,,,"41,300.00",,"41,300.00",,0.00,,,,,,0.00
,,,,Payment,,04/23/2026,,549202,,,,,,Accounts Receivable,,,,,,Paid,,Visa,,,,,,"-41,200.00",,100.00,,0.00,,,,,,0.00
,,,,Discount,,04/23/2026,,549202,,,,,,Accounts Receivable,,,,,,Paid,,Visa,,,,,,-100.00,,0.00,,0.00,,,,,,0.00
,Total AlloT Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Alphasonic Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"324,000.00",,,,,,,,
,,,,Payment,,01/18/2024,,026925,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-324,000.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/22/2024,,AS010143,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"102,660.00",,"102,660.00",,0.00,,,,,,0.00
,,,,Payment,,06/14/2024,,027055,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-102,660.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/18/2024,,AS010180,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"102,660.00",,"102,660.00",,0.00,,,,,,0.00
,,,,Payment,,07/12/2024,,027072,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-102,660.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,08/07/2024,,AS010242,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"163,430.00",,"163,430.00",,0.00,,,,,,0.00
,,,,Payment,,08/08/2024,,027097,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-163,430.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,09/09/2024,,AS010272,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,887,234.29",,"1,887,234.29",,0.00,,,,,,0.00
,,,,Invoice,,09/25/2024,,AS010289,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"153,400.00",,"2,040,634.29",,0.00,,,,,,0.00
,,,,Payment,,10/15/2024,,027142,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-2,040,634.00",,0.29,,0.00,,,,,,0.00
,,,,Payment,,10/15/2024,,,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,-0.29,,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/23/2024,,AS010323,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"51,330.00",,"51,330.00",,0.00,,,,,,0.00
,,,,Invoice,,11/19/2024,,AS010358,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"110,920.00",,"162,250.00",,0.00,,,,,,0.00
,,,,Payment,,11/21/2024,,027164,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-162,250.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/26/2024,,AS010366,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"427,160.00",,"427,160.00",,0.00,,,,,,0.00
,,,,Payment,,01/02/2025,,027213,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-427,160.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/17/2025,,AS010527,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,452,580.00",,"1,452,580.00",,0.00,,,,,,0.00
,,,,Payment,,03/25/2025,,027336,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-1,452,580.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,07/01/2025,,AS010679,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"255,676.50",,"255,676.50",,0.00,,,,,,0.00
,,,,Invoice,,07/08/2025,,AS010696,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"200,718.00",,"456,394.50",,0.00,,,,,,0.00
,,,,Invoice,,07/16/2025,,AS010708,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"373,956.75",,"830,351.25",,0.00,,,,,,0.00
,,,,Invoice,,07/18/2025,,AS010714,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"150,538.50",,"980,889.75",,0.00,,,,,,0.00
,,,,Payment,,07/21/2025,,027512,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-255,676.50",,"725,213.25",,0.00,,,,,,0.00
,,,,Payment,,07/21/2025,,027511,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-200,718.00",,"524,495.25",,0.00,,,,,,0.00
,,,,Payment,,08/15/2025,,027524,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-373,956.75",,"150,538.50",,0.00,,,,,,0.00
,,,,Payment,,08/15/2025,,027532,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-150,538.50",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,12/01/2025,,AS010941,,,,,,Accounts Receivable,,,,A,,Paid,,,,,,,,"553,169.25",,"553,169.25",,0.00,,,,,,0.00
,,,,Payment,,12/31/2025,,027702,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-553,169.25",,0.00,,0.00,,,,,,0.00
,Total Alphasonic Technologies (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"-324,000.00",,0.00,,0.00,,,,,,
,American College Of Higher Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,11/13/2025,,AS010904,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"47,200.00",,"47,200.00",,0.00,,,,,,0.00
,,,,Payment,,11/13/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-47,200.00",,0.00,,0.00,,,,,,0.00
,Total American College Of Higher Education,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,American Premium Water Systems (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,09/11/2024,,AS010274,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"23,600.00",,"23,600.00",,0.00,,,,,,0.00
,,,,Invoice,,09/11/2024,,AS010275,,,,,,Accounts Receivable,,Sal:EC,,A,,Paid,,,,,,,,"92,040.00",,"115,640.00",,0.00,,,,,,0.00
,,,,Payment,,10/22/2024,,954460,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-23,600.00",,"92,040.00",,0.00,,,,,,0.00
,,,,Payment,,10/22/2024,,954459,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-92,040.00",,0.00,,0.00,,,,,,0.00
,Total American Premium Water Systems (Pvt)Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,AMTEC ELECTRONIC (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,06/04/2024,,AS010160,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"11,700.00",,"11,700.00",,0.00,,,,,,0.00
,,,,Payment,,06/04/2024,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-11,700.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/29/2024,,AS010196,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"49,300.00",,"49,300.00",,0.00,,,,,,0.00
,,,,Invoice,,08/06/2024,,AS010241,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"32,000.00",,"81,300.00",,0.00,,,,,,0.00
,,,,Payment,,08/06/2024,,091361,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-32,000.00",,"49,300.00",,0.00,,,,,,0.00
,,,,Payment,,12/18/2024,,091430,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-49,300.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,10/14/2025,,AS010846,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"23,800.00",,"23,800.00",,0.00,,,,,,0.00
,,,,Invoice,,10/24/2025,,AS010862,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"8,200.00",,"32,000.00",,0.00,,,,,,0.00
,,,,Payment,,10/24/2025,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-23,800.00",,"8,200.00",,0.00,,,,,,0.00
,,,,Payment,,11/19/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-8,200.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,11/26/2025,,AS010925,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"47,700.00",,"47,700.00",,0.00,,,,,,0.00
,,,,Invoice,,12/09/2025,,AS010959,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"6,000.00",,"53,700.00",,0.00,,,,,,0.00
,,,,Payment,,02/11/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Cash,,,,,,"-53,700.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/13/2026,,AS011056,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"47,200.00",,"47,200.00",,0.00,,,,,,0.00
,,,,Invoice,,02/19/2026,,AS011071,,,,,,Accounts Receivable,,,,AR,,Paid,,,,,,,,"24,600.00",,"71,800.00",,0.00,,,,,,0.00
,,,,Invoice,,03/13/2026,,AS011095,,,,,,Accounts Receivable,,,,AR,,Unpaid,,,,48,,,,"47,700.00",,"119,500.00",,0.00,,,,,,0.00
,,,,Payment,,03/26/2026,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-71,800.00",,"47,700.00",,0.00,,,,,,0.00
,Total AMTEC ELECTRONIC (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,700.00",,"47,700.00",,0.00,,,,,,
,And Beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,01/08/2025,,AS010422,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"4,720.00",,"4,720.00",,0.00,,,,,,0.00
,,,,Payment,,01/09/2025,,Cash,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-4,720.00",,0.00,,0.00,,,,,,0.00
,Total And Beyond,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Anexta Business Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,07/03/2024,,AS010201,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"18,998.00",,"18,998.00",,0.00,,,,,,0.00
,,,,Invoice,,07/22/2024,,AS010219,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"6,490.00",,"25,488.00",,0.00,,,,,,0.00
,,,,Payment,,08/09/2024,,924900,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-18,998.00",,"6,490.00",,0.00,,,,,,0.00
,,,,Payment,,08/30/2024,,935409,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-6,490.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/24/2026,,AS011116,,,,,,Accounts Receivable,,Sal:RS,,AD,,Unpaid,,,,37,,,,"6,490.00",,"6,490.00",,0.00,,,,,,0.00
,Total Anexta Business Solutions (Pvt) Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,490.00",,"6,490.00",,0.00,,,,,,
,ANVERALLY & SONS (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
,,,,Invoice,,05/24/2025,,AS010620,,,,,,Accounts Receivable,,,,A,,Paid,,,,,,,,"11,800.00",,"11,800.00",,0.00,,,,,,0.00
,,,,Payment,,07/07/2025,,Bank Deposit,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-11,800.00",,0.00,,0.00,,,,,,0.00
,Total ANVERALLY & SONS (PVT) LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,,,,,,
,Apex Business Solutions PVT Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,142,000.00",,,,,,,,
,,,,Payment,,01/11/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-276,000.00",,"866,000.00",,0.00,,,,,,0.00
,,,,Invoice,,01/23/2024,,AS010030,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"483,800.00",,"1,349,800.00",,0.00,,,,,,0.00
,,,,Payment,,01/23/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-312,000.00",,"1,037,800.00",,0.00,,,,,,0.00
,,,,Invoice,,01/29/2024,,AS010033,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"17,228.00",,"1,055,028.00",,0.00,,,,,,0.00
,,,,Payment,,02/02/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-138,000.00",,"917,028.00",,0.00,,,,,,0.00
,,,,Invoice,,02/05/2024,,AS010040,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"804,760.00",,"1,721,788.00",,0.00,,,,,,0.00
,,,,Payment,,02/08/2024,,000194,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-416,000.00",,"1,305,788.00",,0.00,,,,,,0.00
,,,,Invoice,,02/14/2024,,AS010049,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"28,320.00",,"1,334,108.00",,0.00,,,,,,0.00
,,,,Invoice,,02/26/2024,,AS010057,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"272,580.00",,"1,606,688.00",,0.00,,,,,,0.00
,,,,Payment,,03/07/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-483,800.00",,"1,122,888.00",,0.00,,,,,,0.00
,,,,Invoice,,03/20/2024,,AS010084,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"169,920.00",,"1,292,808.00",,0.00,,,,,,0.00
,,,,Payment,,03/25/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-200,000.00",,"1,092,808.00",,0.00,,,,,,0.00
,,,,Invoice,,03/26/2024,,AS010090,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"48,380.00",,"1,141,188.00",,0.00,,,,,,0.00
,,,,Payment,,04/01/2024,,000200,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-604,760.00",,"536,428.00",,0.00,,,,,,0.00
,,,,Payment,,05/03/2024,,000209,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-536,428.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,05/06/2024,,AS010123,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"212,400.00",,"212,400.00",,0.00,,,,,,0.00
,,,,Invoice,,05/07/2024,,AS010124,,,,,,Accounts Receivable,,Sal:RS,,SA,,Paid,,,,,,,,"918,040.00",,"1,130,440.00",,0.00,,,,,,0.00
,,,,Payment,,05/08/2024,,000213,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-918,040.00",,"212,400.00",,0.00,,,,,,0.00
,,,,Invoice,,05/15/2024,,AS010133,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"6,500.01",,"218,900.01",,0.00,,,,,,0.00
,,,,Invoice,,06/06/2024,,AS010166,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"37,878.00",,"256,778.01",,0.00,,,,,,0.00
,,,,Invoice,,06/06/2024,,AS010167,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"200,718.00",,"457,496.01",,0.00,,,,,,0.00
,,,,Invoice,,06/26/2024,,AS010193,,,,,,Accounts Receivable,,Sal:RS,,AR,,Paid,,,,,,,,"18,290.00",,"475,786.01",,0.00,,,,,,0.00
,,,,Payment,,06/28/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-218,900.00",,"256,886.01",,0.00,,,,,,0.00
,,,,Payment,,07/02/2024,,,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,-0.01,,"256,886.00",,0.00,,,,,,0.00
,,,,Invoice,,07/10/2024,,AS010209,,,,,,Accounts Receivable,,Sal:EC,,AD,,Paid,,,,,,,,"339,840.00",,"596,726.00",,0.00,,,,,,0.00
,,,,Payment,,07/24/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-256,886.00",,"339,840.00",,0.00,,,,,,0.00
,,,,Invoice,,08/12/2024,,AS010247,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"159,300.00",,"499,140.00",,0.00,,,,,,0.00
,,,,Payment,,08/21/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-339,840.00",,"159,300.00",,0.00,,,,,,0.00
,,,,Invoice,,09/11/2024,,AS010276,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"2,002,460.00",,"2,161,760.00",,0.00,,,,,,0.00
,,,,Invoice,,09/18/2024,,AS010283,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"5,222,680.00",,"7,384,440.00",,0.00,,,,,,0.00
,,,,Invoice,,09/27/2024,,AS010294,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"248,000.00",,"7,632,440.00",,0.00,,,,,,0.00
,,,,Invoice,,10/25/2024,,AS010328,,,,,,Accounts Receivable,,Sal:RS,,AD,,Paid,,,,,,,,"76,700.00",,"7,709,140.00",,0.00,,,,,,0.00
