,,,,Type,,Date,,Num,,Item,,Item Description,,Account,,Class,,Rep,,Paid,,Pay Meth,,Aging,,Qty,,Amount,,Balance,,Avg Days to Pay,,Paid Date,,Pay Period,,Amount Paid
,Total ACSYS NETWORKS PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,
,Adapt Information Technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190,400.00",,,,,,,,
,,,,Payment,,02/08/2024,,870960,,,,,,Accounts Receivable,,,,,,Paid,,Check,,,,,,"-190,400.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,02/28/2024,,AS010059,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"29,500.00",,"29,500.00",,0.00,,,,,,0.00
,,,,Credit Memo,,03/22/2024,,AS010104,,,,,,Accounts Receivable,,Sal:RS,,,,Paid,,,,,,,,"-29,500.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,03/26/2024,,AS010091,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"466,808.00",,"466,808.00",,0.00,,,,,,0.00
,,,,Invoice,,05/09/2024,,AS010129,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"1,362,310.00",,"1,829,118.00",,0.00,,,,,,0.00
,,,,Payment,,05/13/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-466,808.00",,"1,362,310.00",,0.00,,,,,,0.00
,,,,Payment,,06/14/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-1,362,310.00",,0.00,,0.00,,,,,,0.00
,,,,Invoice,,06/24/2024,,AS010186,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"212,400.00",,"212,400.00",,0.00,,,,,,0.00
,,,,Invoice,,07/09/2024,,AS010206,,,,,,Accounts Receivable,,Sal:RS,,A,,Paid,,,,,,,,"433,060.00",,"645,460.00",,0.00,,,,,,0.00
,,,,Payment,,08/07/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-212,400.00",,"433,060.00",,0.00,,,,,,0.00
,,,,Payment,,08/14/2024,,Online TRF,,,,,,Accounts Receivable,,,,,,Paid,,Bank Deposit,,,,,,"-433,060.00",,0.00,,0.00,,,,,,0.00
