Type,Date,Num,Name,Item,Account,Rep,Sales Tax Code,Qty,Sales Price,Amount
Invoice,02/16/2026,AS011060,AL - ARAF HOTELS & RESORT (PVT) LTD,Hosting (Hosting),Support and Maintenance,AS,Taxable Sales,1.00,"3,122.50","3,122.50"
Invoice,02/16/2026,AS011061,Wiscom Information Technology (Pvt) Ltd,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"12,500.00","12,500.00"
Invoice,02/16/2026,AS011062,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"2,000.00","2,000.00"
Invoice,02/16/2026,AS011063,ABSOLUTE BUSINESS SOLUTIONS ( PVT) LTD,Acronis,Acronics,SM,Non-Taxable Sales,1.00,"2,000.00","2,000.00"
Invoice,02/16/2026,AS011064,CNMS Holdings (Pvt) Ltd,Accs (Accessories),Hardware,AD,Taxable Sales,1.00,"20,000.00","20,000.00"
Invoice,02/16/2026,AS011065,Green Digital Technologies (Pvt) Ltd,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,AR,Non-Taxable Sales,3.00,"20,000.00","60,000.00"
Invoice,02/16/2026,AS011066,Green Digital Technologies (Pvt) Ltd,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,AR,Non-Taxable Sales,3.00,"20,000.00","60,000.00"
Invoice,02/17/2026,AS011067,Metropolitan Technologies (Pvt) Ltd,Synology:DS425+ (Synology DiskStation DS425+ 4 Bay),Synology,AD,Taxable Sales,1.00,"196,000.00","196,000.00"
Invoice,02/17/2026,AS011067,Metropolitan Technologies (Pvt) Ltd,HDD:16TB Synology Ent (16TB Synology Enterprise Hard Drive),Hard Drive,AD,Taxable Sales,2.00,"236,000.00","472,000.00"
Invoice,02/17/2026,AS011067,Metropolitan Technologies (Pvt) Ltd,Discount,Sales Discount,AD,Taxable Sales,,"-5,000.00","-5,000.00"
Invoice,02/18/2026,AS011068,Prime Pulse Solutions (Pvt) Ltd,BDCOM:S1500-16P2S (BDCOM S1500-16P2S POE Switch),BDCOM,AD,Taxable Sales,1.00,"40,000.00","40,000.00"
Invoice,02/18/2026,AS011068,Prime Pulse Solutions (Pvt) Ltd,BDCOM:S1500-8P2G (BDCOM S1500-8P2G Switch),BDCOM,AD,Taxable Sales,1.00,"14,000.00","14,000.00"
Invoice,02/18/2026,AS011069,Liyakta Office Systems (Pvt) Ltd,Synology:DS425+ (Synology DiskStation DS425+ 4 Bay),Synology,AD,Taxable Sales,1.00,"173,000.00","173,000.00"
Invoice,02/18/2026,AS011069,Liyakta Office Systems (Pvt) Ltd,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,AD,Taxable Sales,4.00,"57,000.00","228,000.00"
Invoice,02/18/2026,AS011069,Liyakta Office Systems (Pvt) Ltd,Discount,Sales Discount,AD,Taxable Sales,,"-18,000.00","-18,000.00"
Invoice,02/18/2026,AS011070,Prime Pulse Solutions (Pvt) Ltd,Accs (Accessories),Hardware,AD,Taxable Sales,1.00,"8,000.00","8,000.00"
Invoice,02/19/2026,AS011071,AMTEC ELECTRONIC (PVT) LTD,BDCOM:S1000-8P2F (BDCOM POE S1000-8P2F  8Port 100M Switch),BDCOM,AR,Non-Taxable Sales,3.00,"8,200.00","24,600.00"
Invoice,02/20/2026,AS011072,DATAVERSE IT SOLUTIONS (PVT)LTD,BDCOM:WAP2100-T618 (BDCOM WAP2100-T618),BDCOM,AR,Non-Taxable Sales,1.00,"26,500.00","26,500.00"
Invoice,02/20/2026,AS011073,VS Information Systems (Pvt) Ltd,HDD:HAT3310-16T (Synology 16TB Plus HDD),Hard Drive,A,Taxable Sales,5.00,"150,200.00","751,000.00"
Invoice,02/21/2026,AS011074,I M Solutions,BDCOM:S1500-24P2S-370 (S1500-24P2S-370 BDCOM Switch),BDCOM,AD,Taxable Sales,1.00,"62,000.00","62,000.00"
Invoice,02/21/2026,AS011074,I M Solutions,BDCOM:S1500-24T2S (S1500-24T2S BDCOM Switch),BDCOM,AD,Taxable Sales,1.00,"24,980.00","24,980.00"
Invoice,02/23/2026,AS011075,E Con Network (Pvt) Ltd,HDD:HAT3300-4T (Synology 4TB Plus HDD),Hard Drive,AR,Taxable Sales,2.00,"57,300.00","114,600.00"
Invoice,02/26/2026,AS011076,Liyakta Office Systems (Pvt) Ltd,Synology:DS225+ (Synology DiskStation DS225+ 2Bay NAS),Synology,AD,Taxable Sales,1.00,"116,000.00","116,000.00"
Invoice,02/27/2026,AS011077,Base Hp (Pvt) Ltd,HDD:6 TB NAS (6 TB Seagate Ironwolf NAS Hard Drive),Hard Drive,A,Taxable Sales,1.00,"87,000.00","87,000.00"
Invoice,02/27/2026,AS011078,Information Technologies & Enterprise Sol,Synology:RX1217RP (Synology RX1217 RP  12 Bay Expansion),Synology,A,Non-Taxable Sales,1.00,"881,725.50","881,725.50"
Invoice,02/27/2026,AS011078,Information Technologies & Enterprise Sol,HDD:HAT5310-20T (Synology 20TB Enterprise Hard Drive),Hard Drive,A,Non-Taxable Sales,4.00,"339,010.32","1,356,041.28"
Invoice,02/27/2026,AS011078,Information Technologies & Enterprise Sol,Synology:2 U Sliding Rail Kit,Synology,A,Non-Taxable Sales,1.00,,
Invoice,02/28/2026,AS011079,Network Information Technologies (Pvt) Lt,Services,Support and Maintenance,AS,Taxable Sales,1.00,"200,000.00","200,000.00"
Credit Memo,03/03/2026,AS00126,Green Digital Technologies (Pvt) Ltd,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,,Non-Taxable Sales,-3.00,"20,000.00","-60,000.00"
Credit Memo,03/03/2026,AS00127,Green Digital Technologies (Pvt) Ltd,BDCOM:WAP2100-T512 (BDCOM WAP2100-T512),BDCOM,,Non-Taxable Sales,-3.00,"20,000.00","-60,000.00"
